,Crude marriage rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Marriages per 1000 people, 1960-2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marriages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Country,Note,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,Australia,,..,..,..,..,..,..,..,..,..,..,9.3,..,..,..,..,..,..,..,..,..,7.4,7.6,7.7,7.5,7.0,7.3,7.2,7.0,7.1,7.0,6.9,6.6,6.6,6.4,6.2,6.1,5.8,5.8,5.9,6.0,5.9,5.3,5.4,5.3,5.5,5.4,5.5,5.5,5.5,5.5,5.4,5.4,5.4,5.1,5.2,4.8,4.9,4.6,4.8,4.5,3.1,,,,,"121,176",,,,,"113,595","118,401","112,954","119,188","113,815","78,989",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,Austria,,8.3,8.5,8.4,8.1,8.0,7.8,7.6,7.6,7.6,7.3,7.1,6.4,7.6,6.5,6.5,6.1,6.0,6.0,5.9,6.0,6.2,6.3,6.3,7.4,6.1,5.9,6.1,10.1,4.7,5.6,5.9,5.7,5.8,5.7,5.5,5.4,5.3,5.2,4.9,4.9,4.9,4.3,4.5,4.6,4.7,4.8,4.5,4.3,4.2,4.3,4.5,4.3,4.6,4.3,4.4,5.1,5.1,5.1,5.3,5.2,4.4,,,,,"37,545","36,426","38,592","36,140","37,458","44,502","44,890","44,981","46,468","46,034","39,662","41,111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Belgium,,7.1,6.8,6.7,6.7,6.9,7.0,7.2,7.1,7.2,7.5,7.6,7.6,7.7,7.6,7.5,7.3,7.2,7.0,6.8,6.6,6.7,6.5,6.3,6.1,6.0,5.8,5.8,5.7,6.0,6.4,6.5,6.1,5.8,5.4,5.1,5.1,5.0,4.7,4.4,4.3,4.4,4.1,3.9,4.0,4.2,4.1,4.2,4.3,4.3,4.0,3.9,3.7,3.8,3.4,3.6,4.0,3.9,3.9,3.9,3.9,2.8,,,,,"42,159","41,001","42,198","37,854","39,878","45,005","44,725","44,329","45,059","44,281","32,802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,1,7.3,7.0,7.0,6.9,7.2,7.4,7.8,8.1,8.3,8.7,8.8,8.9,9.2,9.0,8.9,8.7,8.4,8.0,7.9,7.8,7.8,7.7,7.5,7.3,7.2,7.1,6.7,6.9,7.0,7.0,6.8,6.1,5.8,5.6,5.5,5.5,5.3,5.1,5.1,5.1,5.1,4.7,4.7,4.7,4.6,4.6,4.6,4.5,4.4,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,Chile,,..,..,..,..,..,..,..,..,..,..,8.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.5,..,..,..,..,..,..,6.6,6.7,6.5,6.1,5.8,5.3,5.0,4.6,4.4,4.1,3.9,3.6,3.3,3.3,3.5,3.5,3.3,3.3,3.5,3.8,3.7,3.5,3.6,3.4,3.4,3.3,3.4,3.2,..,,,,,,,,,,"61,644","62,464","61,320","63,187","61,596",..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL,Colombia,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
