Entity,Year,Birth rate - Sex: all - Age: all - Variant: estimates,GDP per capita,Urban population (% of total population),"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","Physicians (per 1,000 people)",Human Development Index
Australia,1950,23.086,11815.0,,,,
Australia,1951,22.819,11966.0,,,,
Australia,1952,23.287,11824.0,,,,
Australia,1953,22.874,11963.0,,,,
Australia,1954,22.338,12419.0,,,,
Australia,1955,22.376,12795.0,,,,
Australia,1956,22.331,12924.0,,,,
Australia,1957,22.584,12895.0,,,,
Australia,1958,22.336,13238.0,,,,
Australia,1959,22.232,13753.0,,,,
Australia,1960,22.127,14013.0,81.529,,,
Australia,1961,22.586,13793.0,81.941,,1.1,
Australia,1962,21.825,14389.0,82.228,,,
Australia,1963,21.32,14983.0,82.511,,,
Australia,1964,20.281,15699.0,82.792,,,
Australia,1965,19.438,16182.0,83.068,,,
Australia,1966,19.131,16324.0,83.34,,1.2,
Australia,1967,19.269,17108.0,83.507,,,
Australia,1968,19.898,17770.0,83.672,,,
Australia,1969,20.305,18428.0,83.836,,,
Australia,1970,20.405,19166.0,83.999,,,
Australia,1971,21.534,19590.0,84.16,,1.2,
Australia,1972,20.515,19772.0,84.32,,,
Australia,1973,18.907,20527.0,84.478,,,
Australia,1974,18.265,20698.0,84.636,,,
Australia,1975,17.191,20993.0,84.792,,,
Australia,1976,16.22,21613.0,84.947,,1.5,
Australia,1977,15.981,21592.0,85.1,,,
Australia,1978,15.643,21948.0,85.252,,,
Australia,1979,15.357,22826.0,85.403,,,
Australia,1980,15.34,22972.0,85.552,,,
Australia,1981,15.735,23368.0,85.7,,1.8,
Australia,1982,15.8,22972.0,85.67,,,
Australia,1983,15.762,22697.0,85.641,,,
Australia,1984,15.252,24009.0,85.611,,1.8,
Australia,1985,15.424,24927.0,85.582,,1.9,
Australia,1986,15.168,25116.0,85.552,,2.0,
Australia,1987,14.97,25971.0,85.522,,2.1,
Australia,1988,14.866,26702.0,85.493,,2.1,
