Entity,Year,Birth rate - Sex: all - Age: all - Variant: estimates,Death rate - Sex: all - Age: all - Variant: estimates,Population - Sex: all - Age: all - Variant: estimates,GDP per capita,"Age-standardized death rate from self-inflicted injuries per 100,000 population - Sex: Both sexes - Age group: all ages",Share of population living in urban areas,Projected share of population living in urban areas,Total number of international immigrants,Gender Inequality Index,Fertility rate - Sex: all - Age: all - Variant: estimates,Total days of leave available for the father,Population - Sex: all - Age: all - Variant: estimates_population-with-un-projections.csv,Population - Sex: all - Age: all - Variant: medium,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","GDP per capita, PPP (constant 2017 international $)",Public spending on education as a share of GDP,Minutes spent on leisure - women (OECD Gender data (2020)),Minutes spent on leisure - men (OECD Gender data (2020)),Population (historical),World regions according to OWID,"Physicians (per 1,000 people)",Total days of leave available for the mother,Average annual working hours per worker,Gender wage gap (OECD 2017),Gender Development Index,Human Development Index
Australia,1990,15.369,6.948,17126301.0,27373.0,12.217952,77.59542,,3955213.0,0.185,1.908,0.0,17126301.0,,,30897.965,4.66689,,,17126301.0,,2.17,84.0,1867.9515,18.2,0.962,0.864
Australia,1991,14.944,6.841,17353191.0,26861.275,12.509188,,,,0.184,1.863,0.0,17353191.0,,51.957,30390.135,4.78484,,,17353191.0,,2.336,84.0,1853.8984,16.0,0.963,0.866
Australia,1992,15.092,7.004,17549282.0,27560.178,12.129014,,,,0.184,1.892,0.0,17549282.0,,51.921,30180.31,4.68288,,,17549282.0,,2.374,84.0,1851.8408,14.3,0.963,0.868
Australia,1993,14.762,6.823,17722905.0,28622.477,10.825964,,,,0.181,1.864,0.0,17722905.0,,51.688,31123.064,5.50569,,,17722905.0,,2.399,84.0,1869.6207,13.2,0.963,0.873
Australia,1994,14.51,7.102,17897430.0,29844.172,12.038128,,,,0.179,1.852,0.0,17897430.0,,52.589,32051.494,5.24491,,,17897430.0,,2.438,84.0,1877.7278,14.4,0.964,0.873
Australia,1995,14.157,6.926,18095338.0,30690.062,11.346925,78.5652,,4153330.0,0.176,1.825,0.0,18095338.0,,53.588,32927.332,,,,18095338.0,,2.476,84.0,1875.9148,14.5,0.964,0.882
Australia,1996,13.873,7.007,18305299.0,31740.47,12.449816,,,,0.174,1.804,0.0,18305299.0,,53.78,33787.0,,,,18305299.0,,2.403,84.0,1868.7593,,0.965,0.884
Australia,1997,13.602,6.96,18504909.0,32857.992,13.508834,,,,0.172,1.783,0.0,18504909.0,,53.571,34731.3,,,,18504909.0,,2.401,84.0,1867.0762,15.3,0.965,0.887
Australia,1998,13.327,6.819,18701707.0,34337.14,13.306104,,,,0.169,1.765,0.0,18701707.0,,53.628,35990.387,,,,18701707.0,,2.402,84.0,1851.2338,13.2,0.966,0.891
Australia,1999,13.175,6.798,18909979.0,35551.02,12.375323,,,,0.156,1.764,0.0,18909979.0,,53.619,37388.59,,,,18909979.0,,2.447,84.0,1855.8291,14.3,0.966,0.894
